"","Hyllypaikka","Tekijä","Nimeke","Lainojen.lkm.","ISBN.ISSN","Julkaisuvuosi","Vuosi"
"2960","84.2 D","Lönnroth, Heleena, kirjoittaja.","Ryppyinen kostaja : jännitysromaani",535,"978-952-68149-3-3","2015","2015"
"2961","84.2 D","Mankell, Henning.","Savuna ilmaan",495,"978-951-1-23943-7","2010","2015"
"2962","84.2 D","Mankell, Henning.","Savuna ilmaan",627,"978-951-1-23943-7","2010","2014"
"2963","84.2 D","Manner, Max.","Räsynukke",527,"978-952-289-045-0","2013","2014"
"2964","84.2 D","Marklund, Liza.","Postikorttimurhat",455,"978-951-1-24170-6","2010","2014"
"2965","84.2 D","Nesbø, Jo, kirjoittaja.","Isänsä poika",1652,"978-951-0-40856-8","2014","2015"
"2966","84.2 D","Nesbø, Jo, kirjoittaja.","Verta lumella. Osa II, Lisää verta /",551,"978-951-0-40807-0","2015","2015"
"2967","84.2 D","Nesbø, Jo.","Isänsä poika",876,"978-951-0-40856-8","2014","2014"
"2968","84.2 D","Nesbø, Jo.","Kukkulan kuningas",568,"978-951-0-34705-8","2009","2015"
"2969","84.2 D","Nesbø, Jo.","Kukkulan kuningas",629,"978-951-0-34705-8","2009","2014"
"2970","84.2 D","Nesbø, Jo.","Panssarisydän",523,"978-951-0-36254-9","2010","2014"
"2971","84.2 D","Nesbø, Jo.","Poliisi",794,"978-951-0-39943-9","2013","2015"
"2972","84.2 D","Nesbø, Jo.","Poliisi",1336,"978-951-0-39943-9","2013","2014"
"2973","84.2 D","Nesbø, Jo.","Torakat",451,"978-951-0-34900-7","2009","2015"
"2974","84.2 D","Nesbø, Jo.","Torakat",531,"978-951-0-34900-7","2009","2014"
"2975","84.2 D","Nesser, Håkan.","Herra Roosin tarina : rikosromaani",443,"978-951-31-7110-0","2013","2015"
"2976","84.2 D","Nesser, Håkan.","Herra Roosin tarina : rikosromaani",621,"978-951-31-7110-0","2013","2014"
"2977","84.2 D","Numminen, Juha.","Vaikenemisen hinta : rikosromaani",684,"978-952-289-044-3","2013","2014"
"2978","84.2 D","Nykänen, Harri.","Leijonakuningas : komisario Ariel Kafkan tutkimuksia",557,"978-952-289-106-8","2013","2015"
"2979","84.2 D","Nykänen, Harri.","Leijonakuningas : komisario Ariel Kafkan tutkimuksia",949,"978-952-289-106-8","2013","2014"
"2980","84.2 D","Pakkanen, Outi.","Muistivirhe",609,"978-951-1-23844-7","2009","2014"
"2981","84.2 D","Pakkanen, Outi.","Seuralainen",609,"978-951-1-24571-1","2010","2014"
"2982","84.2 D","Peura, Nina.","Yöpakkasia",437,"978-951-883-532-8","2014","2015"
"2983","84.2 D","Peura, Nina.","Yöpakkasia",593,"978-951-883-532-8","2014","2014"
"2984","84.2 D","Remes, Ilkka, kirjoittaja.","Horna",648,"978-951-0-40702-8","2014","2014"
"2985","84.2 D","Remes, Ilkka, kirjoittaja.","Horna",1406,"978-951-0-40702-8","2014","2015"
"2986","84.2 D","Remes, Ilkka, kirjoittaja.","Jäätyvä helvetti",653,"978-951-0-41299-2","2015","2015"
"2987","84.2 D","Remes, Ilkka.","Teräsleijona",432,"978-951-0-38419-0","2011","2014"
"2988","84.2 D","Remes, Matti.","Tappaja",468,"978-951-31-7126-1","2013","2015"
"2989","84.2 D","Remes, Matti.","Tappaja",793,"978-951-31-7126-1","2013","2014"
"2990","84.2 D","Rönnbacka, Christian, kirjoittaja.","Rakennus 31",839,"978-952-279-185-6","2014","2015"
"2991","84.2 D","Rönnbacka, Christian.","Julma",501,"978-952-279-062-0","2013","2014"
"2992","84.2 D","Ropponen, Markku.","Kuhala & jokimurhat",625,"978-951-31-7130-8","2013","2015"
"2993","84.2 D","Ropponen, Markku.","Kuhala & jokimurhat",835,"978-951-31-7130-8","2013","2014"
"2994","84.2 D","Rosman, Ann.","Porto Francon vartija",649,"978-952-279-015-6","2013","2014"
"2995","84.2 D","Sipilä, Jarkko.","Katumurha",529,"978-951-20-8335-0","2010","2014"
"2996","84.2 D","Sipilä, Jarkko.","Rahan metsästäjät",474,"978-952-289-046-7","2013","2015"
"2997","84.2 D","Sipilä, Jarkko.","Rahan metsästäjät",823,"978-952-289-046-7","2013","2014"
"2998","84.2 D","Sipilä, Jarkko.","Valepoliisi",812,"978-952-289-048-1","2013","2015"
"2999","84.2 D","Sipilä, Jarkko.","Valepoliisi",1322,"978-952-289-048-1","2013","2014"
"3000","84.2 D","Slaughter, Karin.","Yli rajan",531,"978-951-31-6915-2","2013","2015"
"3001","84.2 D","Slaughter, Karin.","Yli rajan",778,"978-951-31-6915-2","2013","2014"
"3002","84.2 D","Söderberg, Alexander.","Andalusialainen ystävä",471,"978-951-20-9088-4","2014","2014"
"3003","84.2 D","Staun, Susanne.","Punainen merkki",456,"978-951-0-38863-1","2014","2014"
"3004","84.2 D","Staun, Susanne.","Punainen merkki",519,"978-951-0-38863-1","2014","2015"
"3005","84.2 D","Tabet, Sirpa.","Kaikki kaupan",459,"978-952-289-109-9","2013","2015"
"3006","84.2 D","Tabet, Sirpa.","Kaikki kaupan",756,"978-952-289-109-9","2013","2014"
"3007","84.2 D","Tegenfalk, Stefan.","Vihan aika",510,"978-952-5637-86-1","2013","2014"
"3008","84.2 D","Tuominen, Pirjo, kirjoittaja.","Varjo vierellä käy",1176,"978-951-31-8511-4","2015","2015"
"3009","84.2 D","Tuominen, Pirjo.","Muistatko Marjatan? : jännitysromaani",800,"978-951-31-7364-7","2013","2015"
"3010","84.2 D","Tuominen, Pirjo.","Muistatko Marjatan? : jännitysromaani",1682,"978-951-31-7364-7","2013","2014"
"3011","84.2 D","Ukkonen, Jyrki.","Ahneuden kartta",520,"978-951-20-9485-1","2014","2014"
"3012","84.2 D","Verdon, John.","Tappakaa Peter Pan",439,"978-951-20-9582-7","2014","2015"
"3013","84.2 Fan","Rowling, J. K.","Siuntio Silosäkeen tarinat",444,"978-951-31-4801-0","2009","2015"
"3014","84.2 Fan ","Hunter, Erin, kirjoittaja.","Villiin luontoon",521,"978-951-884-460-3","2009","2015"
"3015","84.2 Fan ","Hunter, Erin.","Villiin luontoon",464,"978-951-884-460-3","2009","2014"
"3016","84.2 H","Barrows, Annie, kirjoittaja.","Isa+Bea",449,"978-82-305-1833-5","2014","2015"
"3017","84.2 H","Dale, Elizabeth.","Samun salainen ystävä",517,"978-951-883-517-5","2013","2015"
"3018","84.2 H","Dale, Elizabeth.","Samun salainen ystävä",591,"978-951-883-517-5","2013","2014"
"3019","84.2 H","Easton, Tom.","Aavekala",430,"978-951-883-521-2","2013","2014"
"3020","84.2 H","Easton, Tom.","Teräsvalas",427,"978-951-883-520-5","2013","2014"
"3021","84.2 H","Fine, Anne.","Pipsa ja punainen ilmapallo",455,"978-951-883-519-9","2013","2015"
"3022","84.2 H","Fine, Anne.","Pipsa ja punainen ilmapallo",458,"978-951-883-519-9","2013","2014"
"3023","84.2 H","Hallberg, Lin, kirjoittaja.","Eppu ja paras joululahja",750,"978-951-31-7784-3","2014","2015"
"3024","84.2 H","Hallberg, Lin.","Eppu tulee taloon",633,"978-951-31-6496-6","2013","2015"
"3025","84.2 H","Hallberg, Lin.","Eppu tulee taloon",839,"978-951-31-6496-6","2013","2014"
"3026","84.2 H","Hallberg, Lin.","Tallilla tapahtuu, Sinttu",895,"978-951-31-7024-0","2013","2015"
"3027","84.2 H","Hallberg, Lin.","Tallilla tapahtuu, Sinttu",1043,"978-951-31-7024-0","2013","2014"
"3028","84.2 H","Hulkko, Johanna.","Geoetsivät ja vaeltava aave",525,"978-951-23-5709-3","2013","2014"
"3029","84.2 H","Hulkko, Johanna.","Geoetsivät ja vaeltava aave",534,"978-951-23-5709-3","2013","2015"
"3030","84.2 H","Kallioniemi, Tuula.","Karoliina ja lentävä reppu",441,"978-951-1-24126-3","2010","2014"
"3031","84.2 H","Lukkarila, Päivi.","Venla ratsastusleirillä",484,"978-951-23-5707-9","2013","2014"
"3032","84.2 H","Mayfield, Sue.","Ollaan kavereita",591,"978-951-883-518-2","2013","2014"
"3033","84.2 H","Mayfield, Sue.","Ollaan kavereita",592,"978-951-883-518-2","2013","2015"
"3034","84.2 H","Nopola, Sinikka, kirjoittaja.","Risto Räppääjä ja kaksoisolento",2373,"978-951-31-7348-7","2013","2014"
"3035","84.2 H","Nopola, Sinikka, kirjoittaja.","Risto Räppääjä ja kaksoisolento",2439,"978-951-31-7348-7","2013","2015"
"3036","84.2 H","Nopola, Sinikka.","Risto Räppääjä ja Sevillan saituri",1256,"978-951-31-7997-7","2014","2014"
"3037","84.2 H","Nopola, Sinikka.","Risto Räppääjä ja Sevillan saituri",2470,"978-951-31-7997-7","2014","2015"
"3038","84.2 H","Nopola, Sinikka.","RR kuin Risto Räppääjä",1152,"978-951-31-5718-0","2010","2015"
"3039","84.2 H","Parvela, Timo.","Ella ja kaverit karkaavat koulusta",740,"978-951-31-7994-6","2014","2014"
"3040","84.2 H","Parvela, Timo.","Ella ja kaverit karkaavat koulusta",1023,"978-951-31-7994-6","2014","2015"
"3041","84.2 H","Parvela, Timo.","Ella ja kaverit menevät metsään",1017,"978-951-31-5997-9","2013","2015"
"3042","84.2 H","Parvela, Timo.","Ella ja kaverit menevät metsään",1165,"978-951-31-5997-9","2013","2014"
"3043","84.2 H","Pilkey, Dav, kirjoittaja.","Kapteeni Kalsari ja Hippi Helihousun hirvittävä paluu",500,"978-951-31-7754-6","2014","2014"
"3044","84.2 H","Pilkey, Dav, kirjoittaja.","Kapteeni Kalsari ja Hippi Helihousun hirvittävä paluu",1488,"978-951-31-7754-6","2014","2015"
"3045","84.2 H","Widmark, Martin, kirjoittaja.","Uimahallin arvoitus",1062,"978-951-31-7876-5","2014","2015"
"3046","84.2 H","Widmark, Martin.","Sahramin arvoitus",676,"978-951-31-5233-8","2011","2014"
"3047","84.2 H","Widmark, Martin.","Sahramin arvoitus",739,"978-951-31-5233-8","2011","2015"
"3048","84.2 H","Widmark, Martin.","Syntymäpäivän arvoitus",858,"978-951-31-7277-0","2013","2015"
"3049","84.2 H","Widmark, Martin.","Syntymäpäivän arvoitus",874,"978-951-31-7277-0","2013","2014"
"3050","84.2 H ","Gutman, Dan.","Ihan pöhkö ope",442,"978-951-32-2961-0","2010","2014"
"3051","84.2 H ","Hallberg, Lin.","Aprillia, Sinttu",684,"978-951-31-5249-9","2010","2015"
"3052","84.2 H ","Hallberg, Lin.","Aprillia, Sinttu",807,"978-951-31-5249-9","2010","2014"
"3053","84.2 H ","Hallberg, Lin.","Hieno hyppy, Sinttu",895,"978-951-31-4921-5","2009","2015"
"3054","84.2 H ","Hallberg, Lin.","Hieno hyppy, Sinttu",1039,"978-951-31-4921-5","2009","2014"
"3055","84.2 H ","Hallberg, Lin.","Kiva leiri, Sinttu",775,"978-951-31-5250-5","2010","2015"
"3056","84.2 H ","Hallberg, Lin.","Kiva leiri, Sinttu",902,"978-951-31-5250-5","2010","2014"
"3057","84.2 H ","Hallberg, Lin.","Torstaina nähdään, Sinttu",870,"978-951-31-3969-8","2009","2015"
"3058","84.2 H ","Hallberg, Lin.","Torstaina nähdään, Sinttu",976,"978-951-31-3969-8","2009","2014"
"3059","84.2 H ","Kallioniemi, Tuula.","Karoliina ja hullu huvipuisto",432,"978-951-1-23761-7","2009","2014"
"3060","84.2 H ","Kallioniemi, Tuula.","Konsta sydämen asialla",472,"978-951-1-24307-6","2010","2015"
"3061","84.2 H ","Kallioniemi, Tuula.","Konsta sydämen asialla",515,"978-951-1-24307-6","2010","2014"
"3062","84.2 H ","Nopola, Sinikka, kirjoittaja.","Risto Räppääjä ja kuuluisa Kamilla",2658,"978-951-31-4998-7","2009","2014"
"3063","84.2 H ","Nopola, Sinikka, kirjoittaja.","Risto Räppääjä ja kuuluisa Kamilla",2690,"978-951-31-4998-7","2009","2015"
"3064","84.2 H ","Nopola, Sinikka.","RR kuin Risto Räppääjä",993,"978-951-31-5718-0","2010","2014"
"3065","84.2 H ","Parvela, Timo.","Ella ja jättipotti",922,"978-951-31-4943-7","2009","2015"
"3066","84.2 H ","Parvela, Timo.","Ella ja jättipotti",1024,"978-951-31-4943-7","2009","2014"
"3067","84.2 H ","Parvela, Timo.","Ella ja kaverit juhlatuulella",628,"978-951-31-5719-7","2010","2015"
"3068","84.2 H ","Parvela, Timo.","Ella ja kaverit juhlatuulella",691,"978-951-31-5719-7","2010","2014"
"3069","84.2 H ","Parvela, Timo.","Ella ja kaverit. 4-7 /",456,"951-31-3566-7","2006","2014"
"3070","84.2 H ","Parvela, Timo.","Ella ja Yön ritarit",916,"978-951-31-5588-9","2010","2015"
"3071","84.2 H ","Parvela, Timo.","Ella ja Yön ritarit",1004,"978-951-31-5588-9","2010","2014"
"3072","84.2 H ","Perttula, Pirkko-Liisa.","Kummitusperhe Kammoset ja kevättä kylkiluissa",504,"978-951-1-23723-5","2009","2015"
"3073","84.2 H ","Perttula, Pirkko-Liisa.","Kummitusperhe Kammoset ja kevättä kylkiluissa",606,"978-951-1-23723-5","2009","2014"
"3074","84.2 H ","Perttula, Pirkko-Liisa.","Kummitusperhe Kammoset kesälaitumilla",545,"978-951-1-24224-6","2010","2015"
"3075","84.2 H ","Perttula, Pirkko-Liisa.","Kummitusperhe Kammoset kesälaitumilla",597,"978-951-1-24224-6","2010","2014"
"3076","84.2 H ","Widmark, Martin.","Junan arvoitus",583,"978-951-31-4118-9","2009","2014"
"3077","84.2 H ","Widmark, Martin.","Junan arvoitus",636,"978-951-31-4118-9","2009","2015"
"3078","84.2 H ","Widmark, Martin.","Koulun arvoitus",742,"978-951-31-4745-7","2010","2014"
"3079","84.2 H ","Widmark, Martin.","Koulun arvoitus",771,"978-951-31-4745-7","2010","2015"
"3080","84.2 HELP","Benjamin, A. H., kirjoittaja.","Haaveiden satuprinssi",434,"978-951-883-620-2","2014","2015"
"3081","84.2 HELP","Bradman, Tony.","Muumiot tv-tähtinä",472,"951-882-634-X","2006","2014"
"3082","84.2 HELP","Donaldson, Julia.","Lukkimo oppii laskemaan",454,"951-882-445-2","2004","2014"
"3083","84.2 HELP","Fine, Anne.","Aamu ilman äitiä",461,"978-951-882-807-8","2008","2014"
"3084","84.2 HELP","Hallberg, Lin.","Sinttu on paras!",802,"978-951-31-5842-2","2011","2015"
"3085","84.2 HELP","Hallberg, Lin.","Sinttu on paras!",883,"978-951-31-5842-2","2011","2014"
"3086","84.2 HELP","Hallberg, Lin.","Suuri seikkailu, Sinttu",781,"978-951-31-5843-9","2011","2015"
"3087","84.2 HELP","Hallberg, Lin.","Suuri seikkailu, Sinttu",945,"978-951-31-5843-9","2011","2014"
"3088","84.2 HELP","Kallioniemi, Tuula.","Konsta ja näkymätön Niklas",436,"978-951-1-21935-4","2007","2015"
"3089","84.2 HELP","Kallioniemi, Tuula.","Konsta ja näkymätön Niklas",507,"978-951-1-21935-4","2007","2014"
"3090","84.2 HELP","Kallioniemi, Tuula.","Reuhurinteen ala-aste",453,"951-1-14973-3","1997","2014"
"3091","84.2 HELPPO","Kallioniemi, Tuula.","Karoliina ja oikukas uni",488,"978-951-1-27894-8","2014","2014"
"3092","84.2 HELPPO","Parvela, Timo.","Paten aikakirjat",706,"978-951-31-7800-0","2014","2014"
"3093","84.2 HEVOS","Hallberg, Lin.","Eppu on hyvä ystävä",850,"978-951-31-7561-0","2014","2014"
"3094","84.2 HEVOS","Hallberg, Lin.","Kesä kutsuu, Sinttu!",1080,"978-951-31-7564-1","2014","2014"
"3095","84.2 HL","French, Vivian.","Tuomo Tipun uudet kengät",449,"951-882-519-X","2005","2015"
"3096","84.2 HL","French, Vivian.","Tuomo Tipun uudet kengät",576,"951-882-519-X","2005","2014"
"3097","84.2 HL","Goodhart, Pippa.","Jojon syntymäpäivä",547,"951-882-517-3","2005","2015"
"3098","84.2 HL","Goodhart, Pippa.","Jojon syntymäpäivä",657,"951-882-517-3","2005","2014"
"3099","84.2 Huumori","","Hai haarukassa",505,"978-951-1-23791-4","2009","2015"
"3100","84.2 Huumori","","Hai haarukassa",615,"978-951-1-23791-4","2009","2014"
"3101","84.2 Huumori","","Torakka tähtisateessa",530,"978-951-1-24371-7","2010","2015"
"3102","84.2 Huumori","","Torakka tähtisateessa",610,"978-951-1-24371-7","2010","2014"
"3103","84.2 JÄN","Adler-Olsen, Jussi, kirjoittaja.","Tapaus 64",921,"978-951-20-9575-9","2015","2015"
"3104","84.2 JÄN","Bauer, Belinda.","Kadonneet lapset",539,"978-951-23-5620-1","2013","2014"
"3105","84.2 JÄN","Blædel, Sara.","Nimimerkki Prinsessa",479,"978-951-23-5544-0","2013","2014"
"3106","84.2 JÄN","Child, Lee, kirjoittaja.","Korkein panoksin",739,"978-951-23-5954-7","2015","2015"
"3107","84.2 JÄN","Child, Lee.","Etsintäkuulutettu",449,"978-951-23-5677-5","2013","2015"
"3108","84.2 JÄN","Child, Lee.","Etsintäkuulutettu",896,"978-951-23-5677-5","2013","2014"
"3109","84.2 JÄN","Connelly, Michael, kirjoittaja.","Palava huone",568,"978-951-20-9924-5","2015","2015"
"3110","84.2 JÄN","Crais, Robert.","Vartija",634,"978-951-23-5574-7","2013","2014"
"3111","84.2 JÄN","Cussler, Clive.","Paholaisen portti",533,"978-951-0-39517-2","2013","2014"
"3112","84.2 JÄN","Hiekkapelto, Kati.","Kolibri",651,"978-951-1-26732-4","2013","2014"
"3113","84.2 JÄN","Jansson, Anna, kirjoittaja.","Hämärän lapset",1246,"978-951-20-9839-2","2015","2015"
"3114","84.2 JÄN","Kallentoft, Mons.","Kevätkuolema",460,"978-951-0-39520-2","2013","2014"
"3115","84.2 JÄN","Leon, Donna.","Turvasatama",739,"978-951-1-26507-8","2013","2014"
"3116","84.2 JÄN","Lindell, Unni.","Sokerivalhe",491,"978-951-0-39519-6","2013","2015"
"3117","84.2 JÄN","Lindell, Unni.","Sokerivalhe",661,"978-951-0-39519-6","2013","2014"
"3118","84.2 JÄN","Mäki, Reijo.","Sahanpururevolveri : kauneimmat kertomukset",523,"978-951-1-26927-4","2013","2015"
"3119","84.2 JÄN","Mäki, Reijo.","Sahanpururevolveri : kauneimmat kertomukset",853,"978-951-1-26927-4","2013","2014"
"3120","84.2 JÄN","Piekkari, Eija.","Risteys : jännitysromaani",448,"978-952-202-418-3","2013","2014"
"3121","84.2 JÄN","Roberts, Nora, kirjoittaja.","Keräilijä",550,"978-951-20-9971-9","2015","2015"
"3122","84.2 JÄN","Sandberg, Timo, kirjoittaja.","Yövieras : rikosromaani",753,"978-951-23-6044-4","2015","2015"
"3123","84.2 JÄN","Sandberg, Timo.","Kärpäsvaara",658,"978-951-23-5757-4","2014","2015"
"3124","84.2 JÄN","Sandberg, Timo.","Kärpäsvaara",1163,"978-951-23-5757-4","2014","2014"
"3125","84.2 JÄN","Sandberg, Timo.","Mustamäki : jännitysromaani",497,"978-951-23-5693-5","2013","2015"
"3126","84.2 JÄN","Sandberg, Timo.","Mustamäki : jännitysromaani",705,"978-951-23-5693-5","2013","2014"
"3127","84.2 JÄN","Sarkola, Ritva.","Paratiisikäärme : jännitysromaani",537,"978-952-202-416-9","2013","2014"
"3128","84.2 JÄN","Sipilä, Jarkko, kirjoittaja.","Mies kuumasta",1392,"978-952-289-243-0","2015","2015"
"3129","84.2 JÄN","Sten, Viveca.","Sisäpiirissä",532,"978-951-0-39674-2","2013","2015"
"3130","84.2 JÄN","Sten, Viveca.","Sisäpiirissä",721,"978-951-0-39674-2","2013","2014"
"3131","84.2 JÄN","Tuomola, Johanna.","Murhaaja vierelläsi : jännitysromaani",479,"978-952-202-425-1","2013","2015"
"3132","84.2 JÄN","Tuomola, Johanna.","Murhaaja vierelläsi : jännitysromaani",669,"978-952-202-425-1","2013","2014"
"3133","84.2 JÄN","Vala, Vera, kirjoittaja.","Tuomitut",715,"978-951-24-0069-0","2015","2015"
"3134","84.2 JÄN","Vala, Vera.","Villa Sibyllan kirous",558,"978-951-20-9645-9","2014","2015"
"3135","84.2 JÄN","Vala, Vera.","Villa Sibyllan kirous",678,"978-951-20-9645-9","2014","2014"
"3136","84.2 JÄN","Wennstam, Katarina.","Alfauros : jännitysromaani",501,"978-951-1-26730-0","2013","2014"
"3137","84.2 Kauhu","Stine, R. L.","Kuka katoaa seuraavaksi?",453,"978-951-32-2823-1","2009","2014"
"3138","84.2 NOV","Kettu, Katja.","Piippuhylly : novelleja",694,"978-951-0-39392-5","2013","2014"
"3139","84.2 Scifi","Collins, Suzanne.","Nälkäpeli. Matkijanärhi /",547,"978-951-0-35830-6","2010","2014"
"3140","84.2 Scifi","Isomäki, Risto.","Kurganin varjot",604,"978-951-31-8019-5","2014","2015"
"3141","84.2 SOTA","Haapanen, Atso.","Punainen tähti",455,"978-951-23-5736-9","2013","2014"
"3142","84.2 SOTA","Sirén, Esa, kirjoittaja.","Törni kärkeen",477,"978-951-24-0061-4","2015","2015"
"3143","84.2 TAVU","Laird, Elizabeth.","Viidakkokoulu",443,"978-951-882-750-7","2007","2014"
"3144","84.2 TAVU","Rickards, Lynne.","Minä voitin!",442,"978-951-882-863-4","2008","2014"
"3145","84.2 VI","","Lunttaava laiskiainen : 400 uutta koululaisvitsiä",567,"978-951-1-25543-7","2011","2015"
"3146","84.2 VI","","Lunttaava laiskiainen : 400 uutta koululaisvitsiä",625,"978-951-1-25543-7","2011","2014"
"3147","85.12","Kurenniemi, Marjatta.","Onnelin ja Annelin talo",443,"978-951-0-34069-1","2008","2015"
"3148","85.12","Kurenniemi, Marjatta.","Onnelin ja Annelin talo",478,"978-951-0-40444-7","2013","2015"
"3149","85.12","Kurenniemi, Marjatta.","Onnelin ja Annelin talo",492,"978-951-0-40444-7","2013","2014"
"3150","85.12","Lindgren, Astrid.","Eläköön Eemeli [Äänite] /",445,"951-0-29097-1","2004","2015"
"3151","85.12","Nopola, Sinikka.","Heinähattu, Vilttitossu ja ärhäkkä koululainen",846,"978-951-31-7359-3","2013","2015"
"3152","85.12","Nopola, Sinikka.","Heinähattu, Vilttitossu ja ärhäkkä koululainen",874,"978-951-31-7359-3","2013","2014"
"3153","85.12","Nopola, Sinikka.","Heinähattu, Vilttitossu ja iso Elsa",513,"978-951-31-7999-1","2014","2015"
"3154","85.12","Nordqvist, Sven.","Viiru ja Pesonen telttaretkellä",453,"978-951-31-4820-1","2009","2015"
"3155","85.12 H","Agnew, Kate.","Dinosauruspäivä",446,"978-951-883-135-1","2010","2015"
"3156","85.12 H","Agnew, Kate.","Dinosauruspäivä",517,"978-951-883-135-1","2010","2014"
"3157","85.12 H","Agnew, Kate.","Meillä on kivaa!",461,"978-951-883-011-8","2009","2014"
"3158","85.12 H","Bedford, William.","Kiiltomato, joka kadotti kiiltonsa",454,"978-951-883-067-5","2010","2014"
"3159","85.12 H","Bradman, Tony.","Kanerva Keijun taikaloitsu",540,"978-951-883-065-1","2010","2015"
"3160","85.12 H","Bradman, Tony.","Kanerva Keijun taikaloitsu",622,"978-951-883-065-1","2010","2014"
"3161","85.12 H","Doyle, Malachy.","Jalkapalloaaveet",460,"978-951-882-942-6","2009","2015"
"3162","85.12 H","Doyle, Malachy.","Jalkapalloaaveet",511,"978-951-882-942-6","2009","2014"
"3163","85.12 H","Doyle, Malachy.","Kummitusliiga",442,"978-951-883-137-5","2010","2014"
"3164","85.12 H","Doyle, Malachy.","Kummitusliiga",488,"978-951-883-137-5","2010","2015"
"3165","85.12 H","Forde, Patricia.","Sammakot eivät pidä lohikäärmeistä",438,"978-951-883-136-8","2010","2014"
"3166","85.12 H","Goodhart, Pippa.","Kakkutesti",475,"978-951-882-862-7","2008","2014"
"3167","85.12 H","Impey, Rose.","Piraatti-Pete ja aarrekartta",449,"978-951-883-091-0","2010","2015"
"3168","85.12 H","Impey, Rose.","Piraatti-Pete ja aarrekartta",500,"978-951-883-091-0","2010","2014"
"3169","85.12 H","Impey, Rose.","Piraatti-Pete ja pullopostin arvoitus",450,"978-951-883-058-3","2010","2014"
"3170","85.12 H","Impey, Rose.","Piraatti-Pete ja röyhkeät sieppaajat",439,"978-951-883-014-9","2009","2014"
"3171","85.12 H","Impey, Rose.","Piraatti-Pete ja yllätys arkussa",433,"978-951-883-059-0","2010","2014"
"3172","85.12 H","Llewellyn, Claire.","Miisun torkut",434,"978-951-883-062-0","2010","2014"
"3173","85.12 H","Llewellyn, Claire.","Miisun torkut",484,"978-951-883-062-0","2010","2015"
"3174","85.12 H","Llewellyn, Claire.","Uusi lemmikki",440,"978-951-883-064-4","2010","2014"
"3175","85.12 H","Wilding, Valerie.","Kaivuri ja kuormuri",468,"978-951-882-941-9","2009","2014"
"3176","85.12 LA","Nopola, Sinikka, kirjoittaja.","Risto Räppääjä saa isän",2281,"978-951-31-5147-8","2011","2014"
"3177","85.12 LA","Nopola, Sinikka, kirjoittaja.","Risto Räppääjä saa isän",2430,"978-951-31-5147-8","2011","2015"
"3178","85.2","Wolde, Gunilla.","Teemu on pieni",483,"951-30-9068-X","1989","2015"
"3179","85.2","Wolde, Gunilla.","Teemu on pieni",512,"951-30-9068-X","1989","2014"
"3180","85.22","","Muumin kuutamoseikkailu",483,"978-951-0-37128-2","2010","2015"
"3181","85.22","","Näin naapurissa : ankan elämää",545,"978-951-32-2882-8","01","2013"
"3182","85.22","","Risto Räppääjä ja viileä Venla [Videotallenne]",502,"6420291124263","01","2013"
"3183","85.22","","Siniset sankarit",458,"978-951-1-26063-9","2012","2015"
"3184","85.22","","Siniset sankarit",512,"978-951-1-26063-9","2012","2014"
"3185","85.22","","Tuhatta ja sataa.",481,"978-951-32-3791-2","2013","2014"
"3186","85.22","","Tuomas ja ystävät : parhaat tarinat. 1 /",488,"978-952-7041-48-2","2014","2015"
"3187","85.22","","Tuomas ja ystävät : parhaat tarinat. 2 /",472,"978-952-7041-49-9","2014","2015"
"3188","85.22","Agnew, Kate.","Dinosauruspäivä",507,"978-951-883-135-1","01","2013"
"3189","85.22","Appelgren, Tove.","Vesta-Linnea kuunvalossa",434,"978-951-31-7339-5","2013","2015"
"3190","85.22","Appelgren, Tove.","Vesta-Linnea kuunvalossa",570,"978-951-31-7339-5","2013","2014"
"3191","85.22","Arenius, Päivi, taiteilija.","Hillopurkin arvoitus",576,"978-951-31-8159-8","2015","2015"
"3192","85.22","Arenius, Päivi, taiteilija.","Postimerkin arvoitus",530,"978-951-31-8160-4","2015","2015"
"3193","85.22","Arenius, Päivi.","Muumilaakson päivä",435,"978-951-31-7279-4","2013","2014"
"3194","85.22","Arhippa, Pirkko.","Mustat nuotit : jännitysromaani",488,"978-951-882-885-6","01","2012"
"3195","85.22","Bagge, Tapani.","Kadonneen aarteen arvoitus",618,"978-951-31-7607-5","2014","2015"
"3196","85.22","Bagge, Tapani.","Kadonneen aarteen arvoitus",656,"978-951-31-7607-5","2014","2014"
"3197","85.22","Bagge, Tapani.","Rohkea pikku auto",439,"978-951-31-7106-3","2013","2015"
"3198","85.22","Bagge, Tapani.","Rohkea pikku auto",545,"978-951-31-7106-3","2013","2014"
"3199","85.22","Bagge, Tapani.","Vihreän linnun arvoitus",697,"978-951-31-7213-8","2013","2015"
"3200","85.22","Bagge, Tapani.","Vihreän linnun arvoitus",851,"978-951-31-7213-8","2013","2014"
"3201","85.22","Barbie in the pink shoes.","Barbie ja taikatossut",450,"978-951-20-9427-1","2013","2015"
"3202","85.22","Barbie: the secret door, suomi.","Barbie ja salainen ovi",638,"978-951-20-9811-8","2014","2015"
"3203","85.22","Bennett, Elizabeth.","Iso ja pieni, parhaat ystävät",435,"978-951-883-560-1","2014","2015"
"3204","85.22","Bently, Peter.","Kissa, hiiri ja karkurijuna",465,"978-951-883-525-0","2013","2014"
"3205","85.22","Bergström, Gunilla.","Lennä, sanoi Mikko Mallikas",464,"951-31-1055-9","1997","2015"
