Hyllypaikka,Tekijä,Nimeke,ISBN/ISSN,Julkaisuvuosi,Lainojen lkm.
85.22,"Kaarla, Riina.",Muumipeikko seilaa : luukkukirja!,978-951-31-5958-0,2011,443
84.2,"Läckberg, Camilla.",Jääprinsessa,951-50-1615-0,2006,443
84.2,"Jalonen, Riitta.",Kuka sinut omistaa,978-951-31-7401-9,2013,443
84.2 TAVU,"Laird, Elizabeth.",Viidakkokoulu,978-951-882-750-7,2007,443
84.2,"Lehtinen, Tuija.",Suklaapolkuja,978-951-1-23006-9,2008,442
84.2 - Kauhu,"Stine, R. L.",Vampyyrin henkäys,978-951-32-2408-0,2007,442
85.22,"Tison, Annette.",Barbapapan muodot,978-951-1-25466-9,2011,442
84.2,"Gutman, Dan.",Kumma kuvisope,978-951-32-3155-2,2011,442
84.2 H ,"Gutman, Dan.",Ihan pöhkö ope,978-951-32-2961-0,2010,442
84.2,"Ekman, Kerstin.",Huijareiden paraati,978-951-31-7010-3,2014,442
84.2 TAVU,"Rickards, Lynne.",Minä voitin!,978-951-882-863-4,2008,442
85.12 H,"Doyle, Malachy.",Kummitusliiga,978-951-883-137-5,2010,442
84.2,"Hulkko, Johanna.",Geoetsivät ja muinaishaudan salaisuus,978-951-23-5775-8,2014,441
84.2 H,"Kallioniemi, Tuula.",Karoliina ja lentävä reppu,978-951-1-24126-3,2010,441
68.051,,Kodin kuvalehti.  2014 : 2,0023-2610,1967,441
84.2,"Jansson, Anna.",Hylynryöstäjä,978-951-20-7935-3,2009,440
84.2,"Kallioniemi, Tuula.","Konsta, tokaluokkalainen",951-1-21222-2,2006,440
85.12 H,"Llewellyn, Claire.",Uusi lemmikki,978-951-883-064-4,2010,440
84.2,"Sipilä, Jarkko.",Seinää vasten,978-951-20-7810-3,2008,440
84.2,"Kyrö, Tuomas.",Miniä,978-952-67705-0-5,2012,439
84.2,"Parvela, Timo.",Ella yökoulussa,951-31-2221-2,2001,439
84.2,"Parvela, Timo.",Ella ja kaverit. 1-3 /,951-31-3296-X,2005,439
84.2,"Higgins, Jack.",Kuoleman asiamiehet,978-951-20-9519-3,2014,439
84.2,"Ahern, Cecelia.",Tapaaminen Elämän kanssa,978-951-20-8788-4,2012,439
84.2,"Nousiainen, Miika.",Vadelmavenepakolainen,978-951-1-22090-9,2007,439
85.12 H,"Impey, Rose.",Piraatti-Pete ja röyhkeät sieppaajat,978-951-883-014-9,2009,439
84.2,"Varis, Tuula-Liina, kirjoittaja.",Naisen paras ystävä,978-951-0-40764-6,2014,439
84.2,"Tervo, Jari.",Layla : romaani,978-951-0-38277-6,2011,438
85.22,"Koivisto, Jari.",Miina ja Manu koulutiellä,978-951-866-781-3,2010,438
85.22,"Lagonegro, Melissa.",Martin paras syntymäpäivä,978-951-32-3503-1,2012,438
85.22,"Koskimies, Pirkko.",Avulias Pupu Tupuna,978-951-32-3620-5,2013,438
84.2,"Nykänen, Harri.",Mullasta maan,978-952-289-213-3,2014,438
85.22,"Hansen, Carla.",Rasmus Nallen iloinen vuosi,978-951-31-4205-6,2007,438
85.12 H,"Forde, Patricia.",Sammakot eivät pidä lohikäärmeistä,978-951-883-136-8,2010,438
84.2,"Glattauer, Daniel.",Takiainen,978-951-796-923-9,2013,437
99.15,"Worth, Jennifer.",Hakekaa kätilö!,978-951-1-26861-1,2012,437
84.2,"Chamberlain, Diane.",Saran totuus,978-951-0-37776-5,2011,437
84.2,"Nesbø, Jo.",Lumiukko,978-951-0-33769-1,2008,437
84.2,"Manner, Max.",Bandiitti,978-952-289-138-9,2014,437
92.73,"Porvali, Mikko.",Hyökkäyksen edellä : kaukopartio Kannaksella kesällä 1941,978-951-796-945-1,2013,437
84.2,"O'Farrell, Maggie.",Varoitus tukalasta helteestä,978-951-52-3411-7,2014,437
84.2 D,"Jungstedt, Mari.",Aamun hämärissä,978-951-1-23941-3,2010,437
84.2,"Koskinen, Juha-Pekka.",Ystäväni Rasputin : romaani,978-951-0-39772-5,2013,437
84.2,"Marttila, Johanna.",Lemmenkukkia,951-23-4732-6,2006,436
85.22,"Whybrow, Ian.",Harri ja dinot lähtevät lomalle,978-951-883-332-4,2012,436
84.2,"Pättikangas, Eira.",Jäljet veräjällä,978-951-23-5445-0,2011,436
84.2,"Sirén, Esa.",Kannaksen kostajat,978-951-20-9719-7,2014,436
85.22,"Miler, Zdeněk.",Myyrä ja vihreä tähti,978-951-31-6866-7,2012,436
85.22,"Smallman, Steve.",Tohtori Ankka,978-951-883-415-4,2013,435
84.2,"Statovci, Pajtim.",Kissani Jugoslavia,978-951-1-26978-6,2014,435
85.22,"Shields, Gillian.",Pupu pikkuruinen,978-951-883-491-8,2013,435
85.22,"Koskimies, Pirkko.",Pupu Tupuna matkalla kaupunkiin,978-951-32-3080-7,2011,435
85.22 KU,"Kaarla, Riina.",Kuka löytää paperit? : katselukirja,978-951-31-6525-3,2011,435
85.22,"Arenius, Päivi.",Muumilaakson päivä,978-951-31-7279-4,2013,435
85.22,"Louhi, Kristiina.",Tomppa ja mummolan yö,978-951-31-0605-8,1995,434
85.22,"Kirkkopelto, Katri.",Oona ja Eetu : ei hätää!,978-952-288-018-5,2013,434
85.22,"Louhi, Kristiina.",Ainon vuosi,978-951-30-9413-3,1990,434
67.455,"Alderton, David.",Pienet lemmikkieläimet : omistajan opas,951-20-6482-0,2003,434
85.12 H,"Llewellyn, Claire.",Miisun torkut,978-951-883-062-0,2010,434
85.12 H,"Impey, Rose.",Piraatti-Pete ja yllätys arkussa,978-951-883-059-0,2010,433
84.2,"Nopola, Sinikka.","Heinähattu, Vilttitossu ja vauva",951-30-9487-1,1990,433
85.32,Simpsons confidential.,Simpsonit : salaiset kansiot,978-952-220-557-5,2012,433
84.2,"Roberts, Nora.",Jotain lainattua,978-951-20-8225-4,2011,433
84.2,"Kallioniemi, Tuula.",Karoliina ja nokkela Neema,978-951-1-26984-7,2013,432
59.051,,Kotilääkäri  2014 : 1,0787-9385,1978,432
84.2 D,"Remes, Ilkka.",Teräsleijona,978-951-0-38419-0,2011,432
84.2,"Roberts, Nora.",Jotain vanhaa,978-951-20-8224-7,2010,432
84.2 H ,"Kallioniemi, Tuula.",Karoliina ja hullu huvipuisto,978-951-1-23761-7,2009,432
84.2,"Nopola, Tiina.",Rauhallinen Erkki ja hiutalepoika,978-951-31-7391-3,2013,431
85.22,"Hapka, Catherine.",Kavionkopsetta,978-951-32-3771-4,2013,431
74.11,"Hart, Christopher.",Näin piirrät sarjakuvaeläimiä : hauska ja helppo piirustusopas,978-951-883-103-0,2010,431
84.2 H,"Easton, Tom.",Aavekala,978-951-883-521-2,2013,430
84.2,"Gerritsen, Tess.",Hiljainen tyttö,978-951-1-25718-9,2011,430
84.2,"Halttunen, Elina.",Syysvieraita : romaani rakastajista ja rakastetuista,978-951-851-481-0,2012,430
59.55,"Jensen, Hanna.",940 päivää isäni muistina,978-951-851-375-2,2013,429
84.2,"Kanto, Anneli.",Tulikärpäset,978-951-23-5098-8,2009,429
84.2,"Järvelä, Jari.",Tyttö ja pommi,978-952-289-139-6,2014,429
85.22,"Rönns, Christel.",Perin erikoinen muna,978-951-52-3183-3,2012,429
85.22,"Kirkkopelto, Katri.",Molli,978-952-288-019-2,2013,429
84.2,"Brook, Rhidian.",Talo Elben rannalla,978-951-1-25864-3,2014,429
85.22,"Jansson, Tove.",Vaarallinen matka,978-951-0-08186-0,1977,429
86.53,"Walls, Jeannette.",Lasilinna,978-952-279-037-8,2014,428
76.051,,Avotakka.  2014 : 1,0355-2950,1967,428
84.2,"Roth, Veronica, kirjoittaja.",Kapinallinen,978-951-1-28005-7,2014,428
85.22,"Cunliffe, John.",Postimies Pate : kaksi erikoista pakettia!. 1 /,978-952-6603-83-4,2013,428
84.2 H,"Easton, Tom.",Teräsvalas,978-951-883-520-5,2013,427
85.22,"Mawhinney, Art.",Tallien taikaa : piilokuvakirja,978-951-32-3497-3,2012,427
85.22,"Kunnas, Mauri.",Mauri Kunnaksen Koiramäki,951-1-14399-9,1996,427
84.2 D,"James, Peter.",Kuoleman kanssa ei kujeilla,978-952-492-387-3,2010,427
85.22,"Havukainen, Aino.",Veeran keittiöpuuhat,978-951-1-28003-3,2014,427
84.2,"Rosman, Ann.",Majakkamestarin tytär,978-952-5637-01-4,2011,426
85.32,The Simpsons go for the gold.,Simpsonit : tavoitteena kulta,978-952-220-536-0,2012,426
N84.2,"Jalo, Merja.",Jesse muotikoira,978-951-0-37277-7,2011,426
85.22,"Jansson, Tove.",Kuinkas sitten kävikään?,951-0-08687-8,1987,426
L85,"Kirkkopelto, Katri.",Oona ja Eetu : eri mieltä,978-951-627-887-5,2011,426
84.2,"Kaunisto, Milja.",Synnintekijä,978-951-20-9096-9,2013,425
3,"Guinness world records 2015, suomi",Guinness world records 2015,978-951-32-3988-6,2014,425
85.32,"Jarla, Pertti.",Fingerpori. 7 /,978-952-270-090-2,2014,425
84.2,"Andersson, Lena.",Omavaltaista menettelyä : romaani rakkaudesta,978-952-234-205-8,2014,425
84.2,"Follett, Ken.",Maailman talvi,978-951-0-39428-1,2013,425
84.2,"Kaarnakari, Ville.",Operaatio Para Bellum : OPB,978-951-31-7430-9,2013,425
